manufacturer,model,type,year,price,mileage,location,transmission,fuel_type,grade,car_condition
Toyota,Sienna,Suv,2000,1354000,80582,"C45 , Port Harcourt",automatic,Petrol,D,Nigerian used
Toyota,Camry,Sedan,2008,2810000,93133,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Toyota,Matrix,Hatchback,2003,1690000,183690,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Toyota,Camry,Mpv,2010,2474000,110841,"C45 , Asaba",automatic,Petrol, ,Nigerian used
Hyundai,Elantra,Sedan,2017,6282000,124028,"C45 , Lagos",automatic,Petrol, ,Nigerian used
BMW,3 Series,Sedan,2011,1802000,67111,"C45 , Port Harcourt",automatic,Petrol, ,Nigerian used
Acura,Rdx,Suv,2007,2474000,116124,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Nissan,Pathfinder,Suv,2006,2362000,193128,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Hyundai,Sonata,Sedan,2015,5498000,102206,"C45 , Port Harcourt",automatic,Electric,C,Nigerian used
GAC,GA 4,Sedan,2020,10650000,66,C45,automatic,Petrol,C,Nigerian used
Mercedes-Benz,E200,Sedan,1998,458000,308042,"C45 , Benin",automatic,Petrol, ,Nigerian used
Ford,Explorer,Sedan,2006,2138000,211794,C45,automatic,Petrol,D,Nigerian used
Acura,Mdx,Suv,2003,794000,157313,"C45 , Abuja",automatic,Petrol,E,Nigerian used
Lexus,Rx 300,Suv,2001,1578000,137763,"C45 , Onitsha",automatic,Petrol,D,Nigerian used
Mercedes-Benz,C300,Sedan,2010,3997200,210520,"C45 , Lagos",automatic,Petrol,C,Foreign used
Volkswagen,Golf,Sedan,1998,794000,291384,"C45 , Abuja",manual,Petrol,E,Nigerian used
Toyota,Sienna,Mpv,2006,3370000,113847,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Ford,Explorer,Suv,2014,8522000,70851,"C45 , Lagos",automatic,Petrol, ,Foreign used
Toyota,Camry,Sedan,2007,3258000,195538,"C45 , Lagos",automatic,Petrol, ,Foreign used
Mercedes-Benz,C300,Sedan,2008,3034000,136537,"C45 , Abuja",automatic,Petrol,C,Nigerian used
Toyota,Camry,Suv,2004,1242000,254351,"C45 , Lagos",automatic,Petrol,D,Nigerian used
