manufacturer,model,year,price,mileage,location,transmission,fuel_type,grade,car_condition,car_age
Lexus,Is 250,2006,2810000,230997,Abuja,automatic,Petrol,C,Nigerian used,15
Lexus,Es 350,2009,4266000,97384,Lagos,automatic,Petrol,C,Foreign used,12
Toyota,Corolla,2014,6058000,97241,Lagos,automatic,Petrol,C,Foreign used,7
Mercedes-Benz,E240,2000,850000,127764,Ilorin,automatic,Petrol,D,Nigerian used,21
Mercedes-Benz,E240,2002,1242000,285690,Abuja,automatic,Petrol,D,Nigerian used,19
Toyota,Corolla,2008,1690000,131731,Abuja,manual,Petrol,C,Nigerian used,13
Honda,Accord,2013,3370000,94494,Lagos,automatic,Petrol,D,Nigerian used,8
Toyota,Highlander,2006,2250000,97724,Ilorin,automatic,Petrol,C,Nigerian used,15
Toyota,Corolla,2008,2138000,105089,Lagos,automatic,Petrol,D,Nigerian used,13
Mazda,Cx-7,2007,3370000,123163,Lagos,automatic,Petrol,C,Foreign used,14
Honda,Accord,2008,1634000,208094,Ibadan,automatic,Petrol,D,Nigerian used,13
Kia,Optima,2010,1802000,187762,Lagos,automatic,Petrol,D,Nigerian used,11
Toyota,Corolla,2004,1522000,120000,Lagos,automatic,Petrol,C,Nigerian used,17
Lexus,GX470,2004,3370000,25071,PortHarcourt,automatic,Petrol,C,Nigerian used,17
Toyota,Camry,2013,4154000,125225,Lagos,automatic,Petrol,C,Foreign used,8
Lexus,Gs 300,2006,2922000,158692,Akure,automatic,Petrol,E,Foreign used,15
Lexus,Rx 330,2004,2922000,221160,Asaba,automatic,Petrol,D,Nigerian used,17
Hyundai,Elantra,2009,1354000,206360,Abuja,manual,Petrol,C,Nigerian used,12
Hyundai,Sonata,2008,1522000,188770,Lagos,automatic,Petrol,D,Nigerian used,13
Kia,Sorento,2013,2698000,94777,Lagos,automatic,Petrol,D,Nigerian used,8
Mercedes-Benz,C350,2008,2920000,121731,PortHarcourt,automatic,Petrol,C,Nigerian used,13
Nissan,Pathfinder,2013,4490000,125444,Ibadan,automatic,Petrol,D,Nigerian used,8
Nissan,Almera,2002,906000,322121,Ilorin,manual,Petrol,C,Nigerian used,19
Volkswagen,Vento,1998,682000,201502,Kaduna,manual,Petrol,D,Nigerian used,23
Hyundai,Veracruz,2007,2810000,237370,Abuja,automatic,Petrol,C,Nigerian used,14
