manufacturer,model,type,year,price,mileage,location,transmission,fuel_type,grade,car_condition
Mercedes-Benz,C300,Sedan,2008.0,3034000,136537.0,Abuja,automatic,Petrol,C,Nigerian used
Toyota,Camry,Suv,2004.0,1242000,254351.0,Lagos,automatic,Petrol,D,Nigerian used
Honda,Accord,Sedan,2005.0,1242000,183660.0,Abuja,automatic,Petrol,C,Nigerian used
Toyota,Rav4,Suv,2007.0,2474000,102947.0,Lagos,automatic,Petrol,C,Nigerian used
Toyota,Sienna,Mpv,2004.0,1410000,261472.0,Lagos,automatic,Petrol,D,Nigerian used
Toyota,Matrix,Hatchback,2006.0,2138000,142970.0,Lagos,automatic,Petrol,D,Nigerian used
Mercedes-Benz,CLA250,Sedan,2014.0,8970000,102669.0,PortHarcourt,automatic,Electric,C,Nigerian used
Lexus,Rx,Suv,2005.0,2250000,103104.0,Akure,automatic,Petrol,C,Nigerian used
Toyota,Rav4,Suv,2007.0,3146000,120050.0,Abuja,automatic,Petrol,D,Nigerian used
Honda,Accord,Sedan,2013.0,3594000,63964.0,Lagos,automatic,Petrol, ,Nigerian used
Honda,Ridgeline,Truck,2007.0,2698000,172905.0,Lagos,automatic,Petrol,E,Nigerian used
Honda,Accord,Sedan,2013.0,4714000,59536.0,Ilorin,automatic,Petrol,C,Nigerian used
Toyota,Corolla,Sedan,2009.0,2474000,71809.0,Lagos,automatic,Petrol,C,Nigerian used
Toyota,Sienna,Mpv,2006.0,3202000,191352.0,Lagos,triptonic,Petrol,D,Foreign used
Toyota,Camry,Sedan,2007.0,2362000,267818.0,Abuja,automatic,Petrol,C,Nigerian used
Mitsubishi,Endeavor,Suv,2006.0,1650000,181277.0,Lagos,automatic,Petrol,C,Foreign used
Toyota,Camry,Sedan,2008.0,2250000,103298.0,Abuja,automatic,Petrol,D,Nigerian used
Lexus,Gs,Sedan,2010.0,3370000,170012.0,Lagos,automatic,Petrol,E,Nigerian used
Ford,Explorer,Suv,2013.0,8410000,142404.0,Lagos,automatic,Petrol, ,Foreign used
Lexus,Is 250,Sedan,2010.0,2922000,184611.0,Ibadan,automatic,Petrol,C,Nigerian used
Ford,Edge,Suv,2013.0,3930000,103698.0,Lagos,automatic,Petrol,D,Nigerian used
Toyota,Camry,Sedan,2012.0,5946000,151111.0,Abuja,automatic,Petrol,C,Foreign used
Toyota,Camry,Sedan,2020.0,20170000,16986.0,Abuja,automatic,Petrol,A,Foreign used
Peugeot,407,Sedan,2002.0,794000,208059.0,Lagos,manual,Petrol,D,Nigerian used
